,player_name,FG_pct,FG_pct_1_make,FG_pct_1_miss,FG_pct_2_make,FG_pct_2_miss,FG_pct_3_make,FG_pct_3_miss,FG_pct_4_make,FG_pct_4_miss,FG_pct_5_make,FG_pct_5_miss,FG_pct_80_pct,FG_pct_20_pct
32,brook lopez,0.49902912621359224,0.5,0.5236051502145923,0.453125,0.49504950495049505,0.4528301886792453,0.5111111111111111,0.4166666666666667,0.6,0.1,0.5714285714285714,0.44642857142857145,0.5617977528089888
34,carlos boozer,0.5245535714285714,0.5714285714285714,0.5492227979274611,0.4838709677419355,0.5128205128205128,0.4782608695652174,0.4411764705882353,0.3684210526315789,0.25,0.6666666666666666,0.2,0.44642857142857145,0.5180722891566265
35,carmelo anthony,0.44065656565656564,0.40865384615384615,0.47129186602870815,0.35802469135802467,0.49760765550239233,0.43478260869565216,0.54,0.42105263157894735,0.46511627906976744,0.0,0.4,0.47058823529411764,0.4723618090452261
37,chandler parsons,0.4635416666666667,0.4892086330935252,0.44876325088339225,0.4626865671641791,0.4931506849315068,0.4666666666666667,0.5070422535211268,0.3888888888888889,0.5,0.14285714285714285,0.3125,0.52,0.46357615894039733
38,channing frye,0.3803680981595092,0.47058823529411764,0.3409090909090909,0.4375,0.42857142857142855,0.3,0.5185185185185185,0.3333333333333333,0.5384615384615384,0.0,0.5,0.3333333333333333,0.4883720930232558
41,chris bosh,0.4604026845637584,0.43783783783783786,0.48412698412698413,0.4935064935064935,0.48333333333333334,0.4426229508196721,0.46511627906976744,0.38461538461538464,0.5,0.4,0.47619047619047616,0.3582089552238806,0.46551724137931033
42,chris copeland,0.3968253968253968,0.2826086956521739,0.4423076923076923,0.6153846153846154,0.4528301886792453,0.3333333333333333,0.4230769230769231,0.5,0.4166666666666667,0.5,0.25,0.4444444444444444,0.42105263157894735
43,chris kaman,0.5,0.5555555555555556,0.48717948717948717,0.45,0.6,0.5789473684210527,0.4166666666666667,0.7,0.42857142857142855,0.6666666666666666,0.5,0.4444444444444444,0.5454545454545454
44,chris paul,0.4855769230769231,0.5024630541871922,0.47837150127226463,0.5408163265306123,0.4782608695652174,0.39759036144578314,0.5517241379310345,0.25,0.6,0.25,0.7142857142857143,0.3655913978494624,0.50625
45,cj mccollum,0.4838709677419355,0.5,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.6,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.5714285714285714
46,cj miles,0.39819004524886875,0.40384615384615385,0.40562248995983935,0.35135135135135137,0.3925925925925926,0.38095238095238093,0.36619718309859156,0.25,0.4,0.5,0.38095238095238093,0.2222222222222222,0.40336134453781514
47,cj watson,0.44554455445544555,0.4782608695652174,0.40384615384615385,0.4444444444444444,0.39285714285714285,0.625,0.5,0.4,0.6,0.5,0.5,0.6666666666666666,0.3870967741935484
50,cory joseph,0.5447154471544715,0.3611111111111111,0.5555555555555556,0.6,0.5217391304347826,0.75,0.6363636363636364,0.7142857142857143,0.75,0.5,1.0,0.75,0.48717948717948717
51,courtney lee,0.4788732394366197,0.5490196078431373,0.4752475247524752,0.39285714285714285,0.5106382978723404,0.4,0.5,0.2,0.5555555555555556,0.0,0.6666666666666666,0.4117647058823529,0.5208333333333334
52,damian lillard,0.4270833333333333,0.4652173913043478,0.4176470588235294,0.34285714285714286,0.4022140221402214,0.4406779661016949,0.4452054794520548,0.24,0.43661971830985913,0.2,0.45714285714285713,0.35526315789473684,0.44155844155844154
55,danny green,0.42948717948717946,0.4594594594594595,0.44171779141104295,0.3870967741935484,0.39759036144578314,0.5263157894736842,0.4090909090909091,0.375,0.4090909090909091,0.5,0.5555555555555556,0.45,0.41025641025641024
59,darren collison,0.4701195219123506,0.4838709677419355,0.456,0.47368421052631576,0.4603174603174603,0.3333333333333333,0.3968253968253968,0.2,0.34285714285714286,0.0,0.42857142857142855,0.3617021276595745,0.45161290322580644
60,david west,0.45231607629427795,0.4166666666666667,0.4835164835164835,0.42105263157894735,0.4880952380952381,0.375,0.43243243243243246,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.7142857142857143,0.2962962962962963,0.4090909090909091
61,deandre jordan,0.6666666666666666,0.6521739130434783,0.6551724137931034,0.75,0.5,0.6666666666666666,0.6,0.45454545454545453,0.5,0.5,1.0,0.5,0.42105263157894735
62,demarcus cousins,0.46446700507614214,0.5210526315789473,0.46551724137931033,0.4,0.44660194174757284,0.42105263157894735,0.45045045045045046,0.43478260869565216,0.5081967213114754,0.5555555555555556,0.6,0.39705882352941174,0.4120603015075377
63,demarre carroll,0.4841628959276018,0.4666666666666667,0.5145631067961165,0.32,0.6041666666666666,0.5,0.6470588235294118,0.5,0.5,0.5,1.0,0.5,0.4827586206896552
64,dennis schroder,0.41358024691358025,0.34146341463414637,0.4523809523809524,0.35714285714285715,0.5476190476190477,0.5,0.6666666666666666,0.4,0.8333333333333334,0.0,1.0,0.2857142857142857,0.5128205128205128
65,deron williams,0.4188861985472155,0.4270833333333333,0.4117647058823529,0.3902439024390244,0.3902439024390244,0.4,0.4714285714285714,0.2222222222222222,0.4722222222222222,0.0,0.42105263157894735,0.39285714285714285,0.5339805825242718
66,derrick favors,0.5494137353433836,0.5870967741935483,0.5849802371541502,0.5647058823529412,0.5757575757575758,0.4166666666666667,0.625,0.3333333333333333,0.8461538461538461,0.0,1.0,0.5070422535211268,0.6296296296296297
67,derrick rose,0.40981432360742703,0.436046511627907,0.40963855421686746,0.4533333333333333,0.3876651982378855,0.3877551020408163,0.35658914728682173,0.29411764705882354,0.28,0.5,0.3,0.3269230769230769,0.5067567567567568
70,dirk nowtizski,0.4559789750328515,0.44329896907216493,0.46113989637305697,0.46153846153846156,0.4734042553191489,0.40384615384615385,0.4945054945054945,0.3,0.55,0.16666666666666666,0.6666666666666666,0.3442622950819672,0.46632124352331605
71,dj augustin,0.4405594405594406,0.4852941176470588,0.4657534246575342,0.46875,0.4861111111111111,0.3,0.5806451612903226,0.5,0.6666666666666666,0.0,0.5,0.5238095238095238,0.4246575342465753
72,donald sloan,0.4383561643835616,0.4897959183673469,0.38596491228070173,0.5,0.47761194029850745,0.4375,0.42424242424242425,0.42857142857142855,0.42105263157894735,0.3333333333333333,0.5454545454545454,0.6153846153846154,0.3709677419354839
73,donatas motiejunas,0.527363184079602,0.5742574257425742,0.5348837209302325,0.4117647058823529,0.5142857142857142,0.5652173913043478,0.5483870967741935,0.48,0.46153846153846156,0.5454545454545454,0.5,0.5106382978723404,0.5522388059701493
75,dwayne wade,0.4702467343976778,0.5060240963855421,0.47633136094674555,0.44871794871794873,0.4658385093167702,0.5223880597014925,0.475,0.5454545454545454,0.46153846153846156,0.5555555555555556,0.47368421052631576,0.46153846153846156,0.5328467153284672
76,dwight howard,0.5764705882352941,0.6029411764705882,0.58,0.5405405405405406,0.5789473684210527,0.45161290322580644,0.5714285714285714,0.5384615384615384,0.4,0.3333333333333333,0.5,0.6046511627906976,0.5714285714285714
78,elfrid payton,0.43661971830985913,0.5102040816326531,0.43636363636363634,0.43478260869565216,0.39655172413793105,0.42857142857142855,0.4117647058823529,0.2,0.55,0.0,0.7777777777777778,0.5714285714285714,0.5
79,enes kanter,0.5009416195856874,0.45323741007194246,0.5532786885245902,0.5172413793103449,0.58,0.46,0.5789473684210527,0.391304347826087,0.5333333333333333,0.3333333333333333,0.5714285714285714,0.4782608695652174,0.5882352941176471
80,eric bledsoe,0.4521354933726068,0.45180722891566266,0.46839080459770116,0.4714285714285714,0.49142857142857144,0.425531914893617,0.5180722891566265,0.5882352941176471,0.5945945945945946,0.7,0.5333333333333333,0.3829787234042553,0.4883720930232558
81,evan fournier,0.44191919191919193,0.34285714285714286,0.4925373134328358,0.45714285714285713,0.4725274725274725,0.4166666666666667,0.5,0.4444444444444444,0.5882352941176471,0.3333333333333333,0.7142857142857143,0.34615384615384615,0.5263157894736842
82,evan turner,0.3953488372093023,0.46808510638297873,0.3389830508474576,0.4,0.37142857142857144,0.38461538461538464,0.2564102564102564,0.4,0.2692307692307692,0.5,0.25,0.38461538461538464,0.4716981132075472
84,gary neal,0.3958333333333333,0.35714285714285715,0.3974358974358974,0.4166666666666667,0.4074074074074074,0.2857142857142857,0.4864864864864865,0.25,0.5384615384615384,0.0,0.8,0.4375,0.30337078651685395
85,gerald green,0.432712215320911,0.4344262295081967,0.4596774193548387,0.37254901960784315,0.4666666666666667,0.3076923076923077,0.4642857142857143,0.375,0.37037037037037035,0.3333333333333333,0.4666666666666667,0.4,0.45081967213114754
